"Question"	"Answer"
"What is a diode?"	"A two-terminal semiconductor that allows current to flow one way but not the other."
"Does a diode act as a conductor or insulator when conventional current flows from \(\text{battery} \to \text{P} \to \text{N} \to \text{battery}\)? Why?"	"Insulator.<br><br>Electrons saturate the holes in P, leaving no differential for the electrons in N to jump towards. Meanwhile, the extra electrons in N flow back to the battery."
"Does a diode act as a conductor or insulator when conventional current flows from \(\text{battery} \to \text{N} \to \text{P} \to \text{battery}\)? Why?"	"Conductor.<br><br>Electrons saturate N, push into the depletion region, then jump across to the holes in P, which then return to the battery."
"In a BJT transistor, if a small positive current is allowed to flow from base to emitter, what is allowed to happen?"	"A large positive current is allowed to flow from collector to emitter.<br><br><img src=""bjt-current-flow.png"" alt=""BJT control flow""><br><br><i>Image from Ben Eater's transistor video.</i>"
"If electrons are flowing from emitter to base (i.e. you turn the transistor on), why does that enable those electrons to now reach the collector?"	"You're allowing electrons from the emitter to get all the way up into the base, so close that they can jump across the depletion region between base and collector.<br><br><img src=""bjt-electron-flow.png"" alt=""NPN BJT electron flow: emitter → base → collector""><br><br><i>Image from Ben Eater's transistor video.</i>"
"Sketch in your head what a MOSFET looks like."	"Top to bottom: gate (metal) on top of an SiO₂ insulator, sitting on a P-type substrate. Two N-doped wells flank the gate on the left and right — the source and the drain. When the gate is positive, a channel of electrons forms in the substrate just under the insulator, connecting source to drain.<br><br><img src=""mosfet-cross-section.png"" alt=""NMOS cross-section"">"
"Why does a positive charge at the gate open up the channel underneath the insulator? (Consider an NMOS.)"	"It pulls up the electrons in the P-type substrate, filling up the holes at the top — the channel."
"Why is a MOSFET more power efficient than a bipolar junction transistor?"	"In a MOSFET, the input is a voltage you set. In a BJT, it's a current you must keep feeding."
"Conceptually, why doesn't it require a continuous current to keep the MOSFET channel between source and drain open?"	"Thanks to the insulator between the gate and the channel, there's no power dissipated. The channel is powered just by voltage (basically potential energy)."
"What is the only time you have to pay an energy cost in a MOSFET?"	"When you turn the transistor on or off (i.e. when the gate voltage changes)."
"In a MOSFET, you can think of the positive gate / SiO₂ insulator / negative channel triplet as what kind of component?"	"A capacitor."
"What is Dennard scaling?"	"As transistors shrink, their power density stays constant, so total power usage stays in proportion with chip area."
"How did MOSFETs enable Dennard scaling?"	"If you shrink both the voltage and the oxide thickness, the transistor keeps working the same way."
"What was Dennard scaling and why did it come to an end?"	"Dennard scaling refers to the period from 1960-2005 in which planar MOSFETs were scaled down by directly shrinking their dimensions, which increased power density.<br><br>However, threshold voltage and leakage current do not scale with transistor length - Source and Drain got so close together that they would be current even without the channel being on."
"The original 1947 transistor was made of germanium, which also has 4 valence electrons like silicon. Why can't germanium be used to build MOSFETs?"	"Its native oxide (GeO₂) is water-soluble and electrically defective. MOSFETs need a thin, stable, near-perfect insulator on the channel — only silicon grows one (SiO₂)."
"At a high level, what is the difference between planar, FinFET, and gate-all-around?"	"• Planar: gate sits flat atop the source-to-drain channel.<br>• FinFET: gate drapes the channel from three sides.<br>• Gate-all-around: gate fully wraps the channel from all sides."
"MOSFET technology has progressed from planar (1965–2011) to FinFET (2011–2022) to gate-all-around (2022 onwards). Why?"	"Better gate control means you can shrink the source-to-drain distance (the ""gate length"") without source/drain fields leaking current through."
"What kind of operation does a MUX implement?"	"Selection — a ternary operator for two inputs.<br><br><img src=""mux.png"" alt=""3-to-1 MUX as AND/OR tree on select signals"">"
"What is the difference between a half adder and a full adder?"	"A full adder considers the carry-in; a half adder doesn't."
