"Question"	"Answer"
"Equation for time of one forward pass (hint — it's the result of two different quantities)"	"T = max(t_compute, t_mem)"
"Equation for t_compute — not accounting for attention"	"t_compute = (B · N_active)/(FLOPs)<br><br>where B is batch size, N_active is active parameters, and FLOPs is the compute throughput of the hardware."
"Equation for t_mem (hint — there's a contribution from the weights, and from the KV cache)"	"t_mem = (N_total + B · len_ctx · KV_bytes/token)/(mem_bw)"
"Sketch out (in your head) what the graph with batch size on the x-axis and latency on the y-axis looks like — draw the lines for t_compute, KV fetch, and weight fetch, then bold the line that corresponds to total latency given a certain batch size."	"<img src=""latency-vs-batch.png"" alt=""Latency vs. batch size"">"
"Where does the lower bound on latency come from? Why can't you just keep decreasing batch size and have infinitesimal total time to process a token?"	"Because you still have to load all the active parameters into memory."
"Why doesn't the time cost of a token keep decreasing indefinitely as you increase batch size? What two things cannot be amortized over the batch?"	"Compute time, and memory time for KV cache fetches, cannot be amortized with batch size."
"On modern hardware, what is the typical ratio of FLOPs / memory bandwidth?"	"~ 300 FLOPs / byte."
"Work through the math that shows that optimal batch size ought to be at least 300 × your sparsity ratio (active / total parameters) to maximize throughput. Ignore KV cache."	"Set compute time = memory time (at equality, both resources are fully saturated):<br><br>(B · N_active)/(FLOPs) = (N_total)/(mem_bw)<br><br>Solve for B:<br><br>B = (FLOPs)/(mem_bw) · (N_total)/(N_active) = 300 · 1/sparsity<br><br>So B ≥ 300 / sparsity.<br><br><b>Why:</b> compute scales with B (each token needs its own matmul), but weight fetches don't (load once, reuse across batch). Need enough tokens to amortize the fetch.<br><br><b>DeepSeek V3:</b> 32/256 active → B ≥ 300 × 8 = 2,400."
"Picture a GPU cluster as a train station: every ~20ms, a ""train"" departs carrying a batch of sequences through one forward pass (producing one new token per sequence). Why 20ms specifically? What goes wrong if you schedule trains more frequently? How about less frequently?"	"20ms is the HBM drain time — memory capacity ÷ memory bandwidth. E.g. Rubin: 288 GB / 20 TB/s ≈ 15ms.<br><br>Faster than 20ms is impossible because you physically can't read all the weights from HBM in less time than bandwidth allows.<br><br>Slower than 20ms means you're just leaving the FLOPs idle, because there's nothing left to read."
"Why is one rack a natural boundary for an MoE layer?"	"MoE communication is all-to-all (any GPU's tokens may route to any other GPU's experts).<br><br>Within a rack, NVLink connects every GPU to every other at full bandwidth, which is a perfect fit for all-to-all. Across racks, scale-out is ~ 8× slower and bottlenecks the all-to-all."
"Why do ""bubbles"" emerge when pipeline parallelism is used during training?"	"At the beginning of the batch, the GPUs dedicated to the final layers are not being used, and conversely at the end of the batch, the GPUs dedicated to the first layers are not being used.<br><br><img src=""pipeline-bubbles.png"" alt=""Pipeline bubbles diagram"">"
"Why can't you overlap batches in training to solve pipeline bubbles?"	"You need to consolidate gradients and update the model before you process the next batch."
"Pipeline parallelism across P stages divides model weights by P per device. Why doesn't it also divide the KV cache by P?"	"Keeping P stages busy requires P micro-batches in flight, so concurrent sequences scale with P.<br><br>Given that KV cache often dominates memory at long context lengths, pipelining's value is limited."
"Why did Ilya say, ""As we now know, pipelining is not wise."""	"You're adding architecture constraints — things like Kimi's attention-to-residuals (where each block attends to all previous layers' residuals) become very difficult when those residuals live on different pipeline stages. Similarly, interleaving sliding-window and global attention layers could cause load imbalance across stages. Dealing with all this slows down research iteration, which is the greatest sin you can commit."
"Where does the 6 in the 6ND pre-training FLOPs equation come from?"	"2 FLOPs per parameter per token for the forward pass (multiply + add). Backward pass is 2× forward because you compute gradients w.r.t. both input matrices. So 2 + 4 = 6."
"Write the equation for total compute cost across pre-training, RL, and inference."	"C_total = C_pretrain + C_RL + C_inference<br><br>C_pretrain = 6 × N_active × D_pretrain (the 6ND formula — forward + backward)<br><br>C_RL = (2 to 6) × N_active × D_RL × inefficiency (2 if you don't train on the rollout and do forward only, up to 6 if you do; inefficiency from low MFU during decode)<br><br>C_inference = 2 × N_active × D_inference × inefficiency (forward pass only; lower MFU during decode)"
"Why might you naively expect C_pretrain = C_RL = C_inference?"	"If pre-training, RL, and inference costs trade off (more pre-training → less RL/inference needed for same quality, and vice versa), the optimum is approximately where all three are equal."
"Solve for D_pretrain = D_RL = D_inference, with 1/3 as much MFU from decode as prefill."	"6 × D_pretrain = 3 × D_RL × 3 × inefficiency = 2 × D_inference × 3 × inefficiency<br><br>D_pretrain = 1.5 D_RL = D_inference"
"If a frontier model does 50M tokens/sec globally and is deployed for 2 months, using the analysis above, how many tokens should it be pretrained on?"	"D_inference ≈ 50M tokens/sec × 60 days × 86,400 sec/day ≈ 200T tokens<br><br>D_pretrain ≈ D_inference ≈ 200T tokens"
"The Chinchilla rule is that D_optimal ≈ 20 × N_active. If a frontier model has 100B active parameters and is pretrained on 200T tokens, how much over Chinchilla-optimal is it?"	"D_chinchilla ≈ 20 × 100B = 2T tokens<br><br>200T / 2T = 100×"
"Why does Gemini charge ~ 50% more for tokens above 200K context? At a high level, what's happening?"	"Below this point, you're compute bound, where marginal cost per token is flat as context length increases.<br><br>Above this point, you're memory time bound, thanks to KV cache growing, and so marginal token cost increases linearly with context length."
"Sketch compute and memory time per token as context length increases. Then also sketch the pricing per token and how it changes at the crossover point."	"<img src=""cost-vs-context.png"" alt=""Cost vs. context length"">"
"Given Gemini's 200K crossover, work out the implied bytes-per-token of KV cache. Assume 100B active parameters."	"At the crossover, t_compute = t_KV fetch:<br><br>(B · N_active)/(FLOPs) = (B · len_ctx · bytes/token)/(mem_bw)<br><br>Solve for bytes/token:<br><br>bytes/token = (mem_bw)/(FLOPs) · (N_active)/(len_ctx) = 1/300 · (N_active)/(len_ctx)<br><br>Plug in: N_active ≈ 100B, len_ctx = 200K → bytes/token ≈ 1.7 KB."
"Output tokens are typically 3–5× more expensive than input tokens. What does that tell us? And why is that?"	"MFU during decode is about 1/5 that during prefill.<br><br>This is because in prefill, you're processing the whole sequence in parallel, so the weight fetch can be amortized across lots of compute, whereas in decode, you have to load all the weights in just to process one more token, which means you're wasting FLOPs while you're waiting for the weights to show up from memory."
"Why are cached input tokens (cache hits) ~ 10× cheaper than fresh input tokens?"	"Loading KVs from memory is much cheaper than recomputing."
"Why do cryptographic protocols have similar high-level architecture to neural networks, where they're basically jumbling information across many layers?"	"They've both had this convergent evolution where cryptographic protocols need every output bit to depend on every input bit in complicated ways, and similarly, NNs need output to make connections between inputs."
"One could argue that NNs and cryptographic protocols use a similar high-level architecture to opposite ends. In what sense are they doing opposite things?"	"Cryptographic protocols take something which has a lot of structure and make it seem indistinguishable from random. Whereas NNs take something which may look random and extract structure from it."
